,0,1,group,y_true
72,4.7898684,-22.976675,23,0
73,6.9177074,-10.928603,23,0
74,3.700679,-30.23106,23,0
75,3.7968593,-30.163538,23,0
76,2.5770953,-26.940292,23,0
77,7.0229406,-17.84582,23,0
78,-0.58674717,-27.827734,23,0
79,2.0893998,-23.547367,23,0
80,11.150135,-15.092489,23,0
81,5.8365817,-17.38302,23,0
82,9.24687,0.28174168,-1,0
83,8.599534,-15.650266,23,0
84,1.0781083,-27.057604,23,0
85,10.448977,-29.465008,23,0
86,14.275625,-33.726074,-1,0
87,5.6121497,-22.246843,23,0
88,3.2271404,-15.139878,23,0
89,4.153333,-20.46532,23,0
90,5.5548797,-8.375062,-1,0
91,10.810075,-29.83892,23,0
92,3.974254,-14.086422,23,0
93,3.126383,-15.449677,23,0
94,11.162597,-33.581158,23,0
95,8.856529,-21.707226,23,0
96,14.89037,-33.337234,19,0
97,4.429333,-29.888876,23,0
98,9.678651,-29.811283,23,0
99,2.6216664,-14.745873,-1,0
100,4.675719,-22.760956,23,0
101,7.64771,-9.21951,23,0
102,3.0084662,-14.479971,23,0
103,5.4512796,-17.755035,23,0
104,6.9985495,-26.945429,23,0
105,4.080886,-20.910744,23,0
106,11.828554,1.1153576,22,0
107,12.126552,-17.368122,-1,0
108,3.4712658,-26.5437,23,0
109,13.378466,-32.98838,23,0
110,5.771339,-29.024132,23,0
111,4.3278356,-14.369035,23,0
112,3.997859,-14.2296505,23,0
113,3.3653517,-16.181974,23,0
114,11.120203,-33.259285,23,0
115,-0.18109082,-28.453123,-1,0
116,9.621261,-16.342287,23,0
117,3.8888557,-25.754189,23,0
118,12.146576,0.3084933,22,0
119,11.05921,-31.00806,23,0
120,10.125196,-10.97524,-1,0
121,11.06524,-31.439573,23,0
122,11.708033,3.1704092,-1,0
123,10.459459,-19.643969,23,0
124,10.01419,-18.020296,23,0
125,-0.318871,-28.121695,23,0
126,2.9366932,-14.91087,23,0
127,-0.3235283,-27.158915,23,0
128,7.365623,-17.936012,23,0
129,11.29118,-17.50907,-1,0
130,2.9660475,-14.58765,23,0
131,3.5060291,-16.755573,23,0
132,6.9784236,-7.806806,-1,0
133,-0.19782956,-27.084162,23,0
134,3.9671683,-25.8133,23,0
135,10.500323,-33.42024,23,0
136,9.843429,2.3834202,-1,0
137,6.0251675,-11.131675,23,0
138,1.8457341,-30.516582,-1,0
139,4.338226,-22.471828,23,0
140,12.409766,-32.14875,23,0
141,11.2436495,-14.643897,-1,0
142,5.5718594,-17.979172,23,0
143,5.3304963,-16.0439,23,0
144,5.9508896,-21.001787,23,0
145,9.201142,-33.39314,-1,0
146,5.893194,-14.919319,23,0
147,5.7127323,-11.437385,23,0
148,9.84152,-28.574312,23,0
149,6.611817,-7.8004355,23,0
150,9.644254,-21.241177,23,0
151,8.495556,-26.769787,23,0
152,6.3176985,-12.936654,23,0
153,6.4674873,-28.412704,23,0
154,8.782809,-12.116389,23,0
155,5.752657,-15.755355,23,0
156,10.863419,-22.739258,23,0
157,8.152796,-26.456387,23,0
158,10.593955,-29.666132,23,0
159,8.762123,-26.436182,23,0
160,1.1726263,-27.473785,23,0
161,8.343909,-15.590906,23,0
162,8.823049,-12.015786,23,0
163,7.274958,-27.55395,23,0
164,6.763638,-27.915167,23,0
165,2.176412,-25.043224,23,0
166,2.2065907,-26.941874,23,0
167,5.6084447,-21.066605,23,0
168,10.89419,-23.724716,23,0
169,6.534836,-11.734591,23,0
170,8.921175,-11.244359,23,0
171,6.5655985,-11.7991495,23,0
172,12.345745,-26.123795,-1,0
173,6.944055,-26.86198,23,0
174,10.709709,-15.649719,23,0
175,-0.58596057,-28.020935,-1,0
176,4.5582285,-30.289583,23,0
177,4.8426995,-8.566405,-1,0
178,7.100288,-8.9916115,23,0
179,13.0451,22.21457,33,0
180,11.761377,-33.346226,23,0
181,-0.46285126,-26.841982,23,0
182,5.4722033,-9.782161,23,0
183,11.026984,-33.169964,23,0
184,7.0076666,-10.725482,23,0
185,5.5755715,-8.877469,23,0
186,13.282468,0.8914202,-1,0
187,10.748222,-33.375885,23,0
188,6.9377446,-27.201168,23,0
189,7.8793015,-15.377263,23,0
190,6.012386,-21.122168,23,0
191,12.402538,0.5637242,22,0
192,17.919195,18.902596,-1,0
193,5.875941,-30.223925,23,0
194,8.035351,-17.695322,23,0
195,6.2361665,-21.821325,23,0
196,9.371541,0.8069746,-1,0
197,5.048514,-23.176659,23,0
198,10.129867,-29.187216,23,0
